"ProjectRelative","AssemblyName","TargetFramework"
"BasicPlugins\BasicPlugins.csproj","BasicPlugins",""
"EyeTrackerClientConsole\OpenIrisRemoteConsole.csproj","OpenIrisClient",""
"EyeTrackerConsoleTest\EyeTrackerConsoleTest.csproj","EyeTrackerConsoleTest",""
"EyeTrackerRemoteClient\OpenIrisRemoteClient.csproj","OpenIrisRemoteClient",""
"EyeTrackerRemoteGUI\OpenIrisRemoteGUI.csproj","OpenIrisRemoteGUI",""
"FlyCaptureInterface\FlyCaptureInterface.csproj","PointGreyInterface",""
"Interacoustics\Interacoustics.csproj","Interacoustics",""
"LabyrinthDevices\LabyrinthDevices.csproj","LabyrinthDevices",""
"Micromedical\Micromedical.csproj","Micromedical",""
"OpenIrisLib\OpenIrisLib.csproj","OpenIrisLib",""
"OpenIrisRemoteLinux\OpenIrisRemoteLinux.csproj","","netcoreapp3.1"
"OpenIrisUI\OpenIris.csproj","OpenIris",""
"OtherEyeTrackers\OtherEyeTrackers.csproj","OtherEyeTrackers",""
"PointGreyTest\PointGreyTest.csproj","PointGreyTest",""
"RemoteEyeTracker\RemoteEyeTracker.csproj","RemoteEyeTracker",""
"SimpleEyeTrackerUI\SimpleEyeTrackerUI.csproj","SimpleEyeTrackerUI",""
"SpinnakerInterface\SpinnakerInterface.csproj","SpinnakerInterface",""
"SubjectiveEyeTracker\SubjectiveTracker.csproj","SubjectiveTracker",""
"VideoPlayer\VideoPlayer.csproj","VideoPlayer",""
